date,demand,event_name_1,event_type_1,has_event,promotional_event,holiday_event,snap_CA,snap_TX,snap_WI,weekday,wm_yr_wk,month,year,sell_price
2011-01-29,10,,,0,0,0,0,0,0,Saturday,11101,1,2011,0.46
2011-01-30,19,,,0,0,0,0,0,0,Sunday,11101,1,2011,0.46
2011-01-31,12,,,0,0,0,0,0,0,Monday,11101,1,2011,0.46
2011-02-01,6,,,0,0,0,1,1,0,Tuesday,11101,2,2011,0.46
2011-02-02,5,,,0,0,0,1,0,1,Wednesday,11101,2,2011,0.46
2011-02-03,7,,,0,0,0,1,1,1,Thursday,11101,2,2011,0.46
2011-02-04,6,,,0,0,0,1,0,0,Friday,11101,2,2011,0.46
2011-02-05,38,,,0,0,0,1,1,1,Saturday,11102,2,2011,0.46
2011-02-06,10,SuperBowl,Sporting,1,1,0,1,1,1,Sunday,11102,2,2011,0.46
2011-02-07,3,,,0,0,0,1,1,0,Monday,11102,2,2011,0.46
2011-02-08,2,,,0,0,0,1,0,1,Tuesday,11102,2,2011,0.46
2011-02-09,5,,,0,0,0,1,1,1,Wednesday,11102,2,2011,0.46
2011-02-10,10,,,0,0,0,1,0,0,Thursday,11102,2,2011,0.46
2011-02-11,6,,,0,0,0,0,1,1,Friday,11102,2,2011,0.46
2011-02-12,13,,,0,0,0,0,1,1,Saturday,11103,2,2011,0.46
2011-02-13,9,,,0,0,0,0,1,0,Sunday,11103,2,2011,0.46
2011-02-14,20,ValentinesDay,Cultural,1,1,1,0,0,1,Monday,11103,2,2011,0.46
2011-02-15,6,,,0,0,0,0,1,1,Tuesday,11103,2,2011,0.46
2011-02-16,0,,,0,0,0,0,0,0,Wednesday,11103,2,2011,0.46
2011-02-17,0,,,0,0,0,0,0,0,Thursday,11103,2,2011,0.46
2011-02-18,0,,,0,0,0,0,0,0,Friday,11103,2,2011,0.46
2011-02-19,13,,,0,0,0,0,0,0,Saturday,11104,2,2011,0.42
2011-02-20,2,,,0,0,0,0,0,0,Sunday,11104,2,2011,0.42
2011-02-21,15,PresidentsDay,National,1,1,0,0,0,0,Monday,11104,2,2011,0.42
2011-02-22,8,,,0,0,0,0,0,0,Tuesday,11104,2,2011,0.42
2011-02-23,27,,,0,0,0,0,0,0,Wednesday,11104,2,2011,0.42
2011-02-24,7,,,0,0,0,0,0,0,Thursday,11104,2,2011,0.42
2011-02-25,0,,,0,0,0,0,0,0,Friday,11104,2,2011,0.42
2011-02-26,0,,,0,0,0,0,0,0,Saturday,11105,2,2011,0.42
2011-02-27,0,,,0,0,0,0,0,0,Sunday,11105,2,2011,0.42
2011-02-28,0,,,0,0,0,0,0,0,Monday,11105,2,2011,0.42
2011-03-01,0,,,0,0,0,1,1,0,Tuesday,11105,3,2011,0.42
2011-03-02,0,,,0,0,0,1,0,1,Wednesday,11105,3,2011,0.42
2011-03-03,0,,,0,0,0,1,1,1,Thursday,11105,3,2011,0.42
2011-03-04,0,,,0,0,0,1,0,0,Friday,11105,3,2011,0.42
2011-03-05,0,,,0,0,0,1,1,1,Saturday,11106,3,2011,0.42
2011-03-06,15,,,0,0,0,1,1,1,Sunday,11106,3,2011,0.42
2011-03-07,18,,,0,0,0,1,1,0,Monday,11106,3,2011,0.42
2011-03-08,5,,,0,0,0,1,0,1,Tuesday,11106,3,2011,0.42
2011-03-09,0,LentStart,Religious,1,1,0,1,1,1,Wednesday,11106,3,2011,0.42
2011-03-10,6,,,0,0,0,1,0,0,Thursday,11106,3,2011,0.42
2011-03-11,0,,,0,0,0,0,1,1,Friday,11106,3,2011,0.42
2011-03-12,11,,,0,0,0,0,1,1,Saturday,11107,3,2011,0.42
2011-03-13,2,,,0,0,0,0,1,0,Sunday,11107,3,2011,0.42
2011-03-14,22,,,0,0,0,0,0,1,Monday,11107,3,2011,0.42
2011-03-15,15,,,0,0,0,0,1,1,Tuesday,11107,3,2011,0.42
2011-03-16,5,LentWeek2,Religious,1,1,0,0,0,0,Wednesday,11107,3,2011,0.42
2011-03-17,2,StPatricksDay,Cultural,1,1,1,0,0,0,Thursday,11107,3,2011,0.42
2011-03-18,5,,,0,0,0,0,0,0,Friday,11107,3,2011,0.42
2011-03-19,50,,,0,0,0,0,0,0,Saturday,11108,3,2011,0.42
2011-03-20,21,Purim End,Religious,1,1,0,0,0,0,Sunday,11108,3,2011,0.42
2011-03-21,4,,,0,0,0,0,0,0,Monday,11108,3,2011,0.42
2011-03-22,38,,,0,0,0,0,0,0,Tuesday,11108,3,2011,0.42
2011-03-23,4,,,0,0,0,0,0,0,Wednesday,11108,3,2011,0.42
2011-03-24,40,,,0,0,0,0,0,0,Thursday,11108,3,2011,0.42
2011-03-25,10,,,0,0,0,0,0,0,Friday,11108,3,2011,0.42
2011-03-26,34,,,0,0,0,0,0,0,Saturday,11109,3,2011,0.42
2011-03-27,28,,,0,0,0,0,0,0,Sunday,11109,3,2011,0.42
2011-03-28,14,,,0,0,0,0,0,0,Monday,11109,3,2011,0.42
2011-03-29,5,,,0,0,0,0,0,0,Tuesday,11109,3,2011,0.42
2011-03-30,6,,,0,0,0,0,0,0,Wednesday,11109,3,2011,0.42
2011-03-31,5,,,0,0,0,0,0,0,Thursday,11109,3,2011,0.42
2011-04-01,12,,,0,0,0,1,1,0,Friday,11109,4,2011,0.42
2011-04-02,30,,,0,0,0,1,0,1,Saturday,11110,4,2011,0.42
2011-04-03,28,,,0,0,0,1,1,1,Sunday,11110,4,2011,0.42
2011-04-04,5,,,0,0,0,1,0,0,Monday,11110,4,2011,0.42
2011-04-05,8,,,0,0,0,1,1,1,Tuesday,11110,4,2011,0.42
2011-04-06,4,,,0,0,0,1,1,1,Wednesday,11110,4,2011,0.42
2011-04-07,19,,,0,0,0,1,1,0,Thursday,11110,4,2011,0.42
2011-04-08,19,,,0,0,0,1,0,1,Friday,11110,4,2011,0.42
2011-04-09,12,,,0,0,0,1,1,1,Saturday,11111,4,2011,0.42
2011-04-10,11,,,0,0,0,1,0,0,Sunday,11111,4,2011,0.42
2011-04-11,15,,,0,0,0,0,1,1,Monday,11111,4,2011,0.42
