date,demand,promotional_event,holiday_event
2020-01-01,52.483570765056164,0,0
2020-01-02,54.39369889731746,0,0
2020-01-03,59.87597137586656,0,0
2020-01-04,61.400139054133646,0,0
2020-01-05,47.80103886130077,0,0
2020-01-06,44.94786982738981,0,0
2020-01-07,55.56570276359235,0,0
2020-01-08,56.589696949411554,0,0
2020-01-09,55.48732504626543,0,0
2020-01-10,62.09644864227456,0,0
2020-01-11,54.20975516284704,0,0
2020-01-12,49.380037149679325,0,0
2020-01-13,50.05956616412914,0,0
2020-01-14,40.82805303303247,0,0
2020-01-15,46.84566234131636,0,0
2020-01-16,57.733199511070765,0,0
2020-01-17,57.02094664084154,0,0
2020-01-18,60.790351911872065,0,0
2020-01-19,49.850961849871865,0,0
2020-01-20,44.46006710393802,0,0
2020-01-21,60.38327633252327,0,0
2020-01-22,56.99001192304907,0,0
2020-01-23,63.51830358719544,0,0
2020-01-24,57.584093731110165,0,0
2020-01-25,59.10596852102946,0,0
2020-01-26,57.539828140418564,0,0
2020-01-27,48.34545268247712,0,0
2020-01-28,57.496399985078,0,0
2020-01-29,57.6619650017558,0,0
2020-01-30,64.25119655093582,0,0
2020-01-31,64.2103972454887,0,0
2020-02-01,73.58182211600028,0,0
2020-02-02,59.39109750858764,0,0
2020-02-03,51.26542541694184,0,0
2020-02-04,62.16376252062619,0,0
2020-02-05,56.97302041177393,0,0
2020-02-06,69.1444054260139,0,0
2020-02-07,59.78873998539173,0,0
2020-02-08,60.02480218808404,0,0
2020-02-09,62.764741549971234,0,0
2020-02-10,62.54413169662099,0,0
2020-02-11,61.181088706655906,0,0
2020-02-12,64.74702808737156,0,0
2020-02-13,68.81685964995405,0,0
2020-02-14,64.39047712815693,0,0
2020-02-15,65.23566740404293,0,0
2020-02-16,61.61901874997203,0,0
2020-02-17,66.25127816687842,0,0
2020-02-18,64.12777603569295,0,0
2020-02-19,68.56656151383459,0,1
2020-02-20,73.96984129172908,0,0
2020-02-21,71.85477325618773,0,0
2020-02-22,77.41694288150988,0,1
2020-02-23,68.91634694772996,0,0
2020-02-24,68.02503675895463,0,0
2020-02-25,68.93861654234405,0,0
2020-02-26,65.02591474014459,0,0
2020-02-27,72.6108673517946,0,0
2020-02-28,77.2108460222657,0,0
2020-02-29,77.42003765994677,0,0
2020-03-01,65.16885684190608,0,0
2020-03-02,73.61410868921413,0,1
2020-03-03,75.38811609233427,1,0
2020-03-04,64.84337382683658,0,0
2020-03-05,79.78642190271691,0,0
2020-03-06,83.86669144700556,0,0
2020-03-07,73.67697326875965,0,0
2020-03-08,74.04051504768802,0,0
2020-03-09,67.77178898835207,0,0
2020-03-10,64.07816325652526,0,0
2020-03-11,73.97781584990048,0,0
2020-03-12,84.72257144619925,0,0
2020-03-13,78.17683821580383,0,0
2020-03-14,83.0923281630271,0,0
2020-03-15,57.11755892172748,0,0
2020-03-16,86.22765355993513,1,0
2020-03-17,68.8543897626694,0,0
2020-03-18,71.75182718701656,0,0
2020-03-19,78.52763749578553,0,0
2020-03-20,69.41478458971974,0,0
2020-03-21,75.12743559095205,0,0
2020-03-22,72.9183773128341,0,0
2020-03-23,75.38381849643682,0,0
2020-03-24,66.66353207316503,0,0
2020-03-25,69.99950244136943,0,0
2020-03-26,76.31440097093035,0,0
2020-03-27,84.6431187318025,0,0
2020-03-28,93.54204840455074,1,0
2020-03-29,69.11543467580238,0,0
2020-03-30,71.15094681383533,0,0
2020-03-31,70.28930132578348,0,0
2020-04-01,79.39293596567875,0,0
2020-04-02,75.77932474134552,0,0
2020-04-03,78.85283045106003,0,0
2020-04-04,75.32139194674173,0,0
2020-04-05,64.78889767094601,0,0
2020-04-06,70.3660469086598,0,0
2020-04-07,71.36863952156581,0,0
2020-04-08,74.79336837973015,0,0
2020-04-09,78.29342416350698,0,0
2020-04-10,73.54978789125065,0,0
2020-04-11,75.27300078771043,0,0
2020-04-12,70.44606445710383,0,0
2020-04-13,64.88618158271831,0,0
2020-04-14,69.22811476860046,0,0
