item_id,fold,model,mae,rmse,status,error
HOBBIES_1_348,1,SARIMAX,5.258435987872315,6.924382483484764,success,
HOBBIES_1_348,1,LSTM,5.394226551055908,6.668203876017057,success,
HOBBIES_1_348,1,LightGBM,,,failed,No OpenCL device found
HOBBIES_1_348,1,StackingEnsemble,4.520707801492454,7.08842245577485,success,
HOBBIES_1_348,2,SARIMAX,7.149397563176046,8.229510896559127,success,
HOBBIES_1_348,2,LSTM,6.209051132202148,7.177727200251516,success,
HOBBIES_1_348,2,LightGBM,,,failed,No OpenCL device found
HOBBIES_1_348,2,StackingEnsemble,5.851894931725273,7.075752913920006,success,
HOBBIES_1_348,3,SARIMAX,6.087793959907293,9.189870340763406,success,
HOBBIES_1_348,3,LSTM,6.618484973907471,9.453401419641446,success,
HOBBIES_1_348,3,LightGBM,,,failed,No OpenCL device found
HOBBIES_1_348,3,StackingEnsemble,6.598109437803499,9.434284098500761,success,
HOBBIES_1_348,4,SARIMAX,6.637960577492176,9.113625920612469,success,
HOBBIES_1_348,4,LSTM,7.207926273345947,9.292545932741435,success,
HOBBIES_1_348,4,LightGBM,,,failed,No OpenCL device found
HOBBIES_1_348,4,StackingEnsemble,7.321840945727236,9.303265158749806,success,
HOBBIES_1_348,5,SARIMAX,6.808710484402309,11.867599809883904,success,
HOBBIES_1_348,5,LSTM,6.728675842285156,11.879844560730135,success,
HOBBIES_1_348,5,LightGBM,,,failed,No OpenCL device found
HOBBIES_1_348,5,StackingEnsemble,6.759081831829703,11.74878130844544,success,
